,text,label_id,exp_split,label,annotation_id,feat
0,Unions representing workers at Turner    Newall say they are ' disappointed ' after talks with stricken parent firm Federal Mogul .,deeplift,test,0,test_0,deeplift
1,"SPACE.com - TORONTO , Canada -- A second\team of rocketeers competing for the   # 36;10 million Ansari X Prize , a contest for\privately funded suborbital space flight , has officially announced the first\launch date for its manned rocket .",lime,test,1,test_1,lime
2,"AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides , which are short chains of amino acids , the building blocks of proteins .",gradients,test,2,test_2,gradients
3,"AP - It 's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps , figures and endless charts , but already he knows what the day will bring . Lightning will strike in places he expects . Winds will pick up , moist places will dry and flames will roar .",scaled attention,test,3,test_3,scaled attention
4,"AP - Southern California 's smog - fighting agency went after emissions of the bovine variety Friday , adopting the nation 's first rules to reduce air pollution from dairy cow manure .",lime,test,1,test_4,lime
5,"The British Department for Education and Skills ( DfES ) recently launched a "" Music Manifesto "" campaign , with the ostensible intention of educating the next generation of British musicians . Unfortunately , they also teamed up with the music industry ( EMI , and various artists ) to make this popular . EMI has apparently negotiated their end well , so that children in our schools will now be indoctrinated about the illegality of downloading music . The ignorance and audacity of this got to me a little , so I wrote an open letter to the DfES about it . Unfortunately , it 's pedantic , as I suppose you have to be when writing to goverment representatives . But I hope you find it useful , and perhaps feel inspired to do something similar , if or when the same thing has happened in your area .",deeplift,test,0,test_5,deeplift
6,"\\""Sven Jaschan , self - confessed author of the Netsky and Sasser viruses , is\responsible for 70 percent of virus infections in 2004 , according to a six - month\virus roundup published Wednesday by antivirus company Sophos . ""\\""The 18 - year - old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms , something\experts at Microsoft confirmed . ( A Microsoft antivirus reward program led to the\teenager 's arrest . ) During the five months preceding Jaschan 's capture , there\were at least 25 variants of Netsky and one of the port - scanning network worm\Sasser . ""\\""Graham Cluley , senior technology consultant at Sophos , said it was staggeri ... \\",gradients,test,2,test_6,gradients
7,\\FOAF / LOAF   and bloom filters have a lot of interesting properties for social\network and whitelist distribution.\\I think we can go one level higher though and include GPG / OpenPGP key\fingerpring distribution in the FOAF file for simple web - of - trust based key\distribution.\\What if we used FOAF and included the PGP key fingerprint(s ) for identities?\This could mean a lot .   You include the PGP key fingerprints within the FOAF\file of your direct friends and then include a bloom filter of the PGP key\fingerprints of your entire whitelist ( the source FOAF file would of course need\to be encrypted ) .\\Your whitelist would be populated from the social network as your client\discovered new identit ... \\,gradients,test,2,test_7,gradients
8,"Wiltshire Police warns about "" phishing "" after its fraud squad chief was targeted .",lime,test,1,test_8,lime
9,"In its first two years , the UK 's dedicated card fraud unit , has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65 m.",scaled attention,test,3,test_9,scaled attention
10,"  LOS ANGELES ( Reuters ) - A group of technology companies   including Texas Instruments Inc. & lt;TXN.N&gt ; , STMicroelectronics   & lt;STM.PA&gt ; and Broadcom Corp. & lt;BRCM.O&gt ; , on Thursday said they   will propose a new wireless networking standard up to 10 times   the speed of the current generation .",scaled attention,test,3,test_10,scaled attention
11,  LOS ANGELES ( Reuters ) - Apple Computer Inc.&lt;AAPL.O&gt ; on   Tuesday began shipping a new program designed to let users   create real - time motion graphics and unveiled a discount   video - editing software bundle featuring its flagship Final Cut   Pro software .,lime,test,1,test_11,lime
12,"  AMSTERDAM ( Reuters ) - Free Record Shop , a Dutch music   retail chain , beat Apple Computer Inc. to market on Tuesday   with the launch of a new download service in Europe 's latest   battleground for digital song services .",lime,test,1,test_12,lime
13,"A giant 100 km colony of ants   which has been discovered in Melbourne , Australia , could threaten local insect species .",deeplift,test,0,test_13,deeplift
14,"Dolphin groups , or "" pods "" , rely on socialites to keep them from collapsing , scientists claim .",deeplift,test,0,test_14,deeplift
15,Tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years .,scaled attention,test,3,test_15,scaled attention
16,"Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter 's largest moon , Ganymede . These irregular masses may be rock formations , supported by Ganymede 's icy shell for billions of years ...",lime,test,1,test_16,lime
17,"European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA 's Mars rovers for the first time , as part of a set of interplanetary networking demonstrations .      The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities ...",attention,test,4,test_17,attention
18,"When did life begin ? One evidential clue stems from the fossil records in Western Australia , although whether these layered sediments are biological or chemical has spawned a spirited debate . Oxford researcher , Nicola McLoughlin , describes some of the issues in contention .",gradients,test,2,test_18,gradients
19,"update Earnings per share rise compared with a year ago , but company misses analysts ' expectations by a long shot .",ig,test,5,test_19,ig
20,"By the end of the year , the computing giant plans to have its biggest headcount since 1991 .",lime,test,1,test_20,lime
21,Developers get early code for new operating system ' skin ' still being crafted .,lime,test,1,test_21,lime
22,New technology applies electrical fuses to help identify and repair faults .,gradients,test,2,test_22,gradients
23,"Google has billed its IPO as a way for everyday people to get in on the process , denying Wall Street the usual stranglehold it 's had on IPOs . Public bidding , a minimum of just five shares , an open process with 28 underwriters - all this pointed to a new level of public participation . But this is n't the case .",deeplift,test,0,test_23,deeplift
24,"By MICHAEL LIEDTKE      SAN FRANCISCO ( AP ) -- With its low prices and iconoclastic attitude , discount stock broker Charles Schwab Corp. ( SCH ) represented an annoying stone in Wall Street 's wing - tipped shoes for decades ...",lime,test,1,test_24,lime
25,Industry cyber security standards fail to reach some of the most vulnerable components of the power grid.\,gradients,test,2,test_25,gradients
26,Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds .,ig,test,5,test_26,ig
27,"FOXBOROUGH -- Looking at his ridiculously developed upper body , with huge biceps and hardly an ounce of fat , it 's easy to see why Ty Law , arguably the best cornerback in football , chooses physical play over finesse . That 's not to imply that he 's lacking a finesse component , because he can shut down his side of the field much as Deion Sanders ...",lime,test,1,test_27,lime
28,"With the weeks dwindling until Jason Varitek enters free agency , the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future , in his climb toward the majors . The Sox like most of what they have seen at Triple A Pawtucket from Shoppach , though it remains highly uncertain whether he can make the adjustments at the plate ...",scaled attention,test,3,test_28,scaled attention
29,"Just imagine what David Ortiz could do on a good night 's rest . Ortiz spent the night before last with his baby boy , D'Angelo , who is barely 1 month old . He had planned on attending the Red Sox ' Family Day at Fenway Park yesterday morning , but he had to sleep in . After all , Ortiz had a son at home , and he ...",scaled attention,test,3,test_29,scaled attention
30,"In   quot;helping themselves , quot ; Ricky Bryant , Chas Gessner , Michael Jennings , and David Patten did nothing Friday night to make Bill Belichick 's decision on what to do with his receivers any easier .",scaled attention,test,3,test_30,scaled attention
31,"The Cleveland Indians pulled within one game of the AL Central lead by beating the Minnesota Twins , 7 - 1 , Saturday night with home runs by Travis Hafner and Victor Martinez .",scaled attention,test,3,test_31,scaled attention
32,Canadian Press - VANCOUVER ( CP ) - The sister of a man who died after a violent confrontation with police has demanded the city 's chief constable resign for defending the officer involved .,scaled attention,test,3,test_32,scaled attention
